"id" "noj" "tstart" "tfin" "sex" "ti" "tb" "te" "pres" "edu" "tfp" "des" "cohorte" "lfx" "pnoj"
"100" 31 3 962 974 2 982 607 811 32 11 13 1 3 151 2
"101" 31 4 975 982 2 982 607 811 32 11 8 0 3 164 3
"102" 32 1 607 638 2 982 376 607 40 11 32 1 1 0 0
"103" 32 2 726 846 2 982 376 607 40 11 121 1 1 119 1
"104" 32 3 847 870 2 982 376 607 25 11 24 1 1 240 2
"105" 32 4 871 906 2 982 376 607 40 11 36 1 1 264 3
"106" 32 5 907 954 2 982 376 607 32 11 48 1 1 300 4
"107" 32 6 955 982 2 982 376 607 40 11 28 0 1 348 5
"108" 33 1 698 826 1 982 471 698 40 11 129 1 2 0 0
"109" 33 2 827 976 1 982 471 698 40 11 150 1 2 129 1
"110" 33 3 981 982 1 982 471 698 40 11 2 0 2 283 2
"111" 34 1 832 855 1 982 617 832 34 17 24 1 3 0 0
"112" 34 2 856 879 1 982 617 832 38 17 24 1 3 24 1
"113" 34 3 921 982 1 982 617 832 70 17 62 0 3 89 2
"114" 35 1 700 727 1 982 494 700 39 9 28 1 2 0 0
"115" 35 2 728 762 1 982 494 700 31 9 35 1 2 28 1
"116" 35 3 763 982 1 982 494 700 30 9 220 0 2 63 2
"117" 36 1 795 982 2 982 600 795 41 10 188 0 3 0 0
"118" 37 1 699 740 1 982 368 699 41 19 42 1 1 0 0
"119" 37 2 770 910 1 982 368 699 65 19 141 1 1 71 1
"120" 37 3 911 982 1 982 368 699 62 19 72 0 1 212 2
"121" 38 1 562 575 2 982 365 562 41 10 14 1 1 0 0
"122" 38 2 576 982 2 982 365 562 41 10 407 0 1 14 1
"123" 39 1 706 726 1 982 481 706 55 11 21 1 2 0 0
"124" 39 2 727 780 1 982 481 706 56 11 54 1 2 21 1
"125" 39 3 781 982 1 982 481 706 56 11 202 0 2 75 2
"126" 40 1 752 763 2 982 495 752 44 13 12 1 2 0 0
"127" 40 2 764 771 2 982 495 752 44 13 8 1 2 12 1
"128" 40 3 772 777 2 982 495 752 44 13 6 1 2 20 2
"129" 40 4 832 885 2 982 495 752 41 13 54 1 2 80 3
"130" 40 5 956 982 2 982 495 752 44 13 27 0 2 204 4
"131" 41 1 586 702 2 982 366 586 20 9 117 1 1 0 0
"132" 41 2 703 912 2 982 366 586 22 9 210 1 1 117 1
"133" 42 1 628 659 1 982 373 628 50 13 32 1 1 0 0
"134" 42 2 660 786 1 982 373 628 50 13 127 1 1 32 1
"135" 42 3 787 982 1 982 373 628 55 13 196 0 1 159 2
"136" 44 1 802 805 1 982 592 802 34 11 4 1 3 0 0
"137" 44 2 806 825 1 982 592 802 34 11 20 1 3 4 1
"138" 44 3 826 831 1 982 592 802 34 11 6 1 3 24 2
"139" 44 4 832 837 1 982 592 802 34 11 6 1 3 30 3
"140" 44 5 856 861 1 982 592 802 42 11 6 1 3 54 4
"141" 44 6 862 973 1 982 592 802 42 11 112 1 3 60 5
"142" 44 7 974 982 1 982 592 802 42 11 9 0 3 172 6
"143" 45 1 896 913 2 982 624 896 57 19 18 1 3 0 0
"144" 45 2 914 982 2 982 624 896 57 19 69 0 3 18 1
"145" 46 1 874 909 1 982 616 874 45 19 36 1 3 0 0
"146" 46 2 958 982 1 982 616 874 56 19 25 0 3 84 1
"147" 47 1 588 657 1 982 356 588 39 12 70 1 1 0 0
"148" 47 2 682 857 1 982 356 588 55 12 176 1 1 94 1
"149" 47 3 858 916 1 982 356 588 55 12 59 1 1 270 2
"150" 47 4 917 982 1 982 356 588 55 12 66 0 1 329 3
"151" 48 1 796 818 2 982 591 796 32 11 23 1 3 0 0
"152" 49 1 975 982 1 982 597 975 64 19 8 0 3 0 0
"153" 51 1 695 982 1 982 478 695 34 11 288 0 2 0 0
"154" 52 1 568 595 2 982 356 568 32 11 28 1 1 0 0
"155" 53 1 520 531 2 982 354 520 20 9 12 1 1 0 0
"156" 53 2 557 604 2 982 354 520 32 9 48 1 1 37 1
"157" 54 1 712 758 2 982 477 712 32 11 47 1 2 0 0
"158" 55 1 820 852 2 982 609 820 32 11 33 1 3 0 0
"159" 55 2 853 865 2 982 609 820 32 11 13 1 3 33 1
"160" 55 3 866 982 2 982 609 820 41 11 117 0 3 46 2
"161" 56 1 712 751 1 982 502 712 41 11 40 1 2 0 0
"162" 56 2 752 893 1 982 502 712 41 11 142 1 2 40 1
"163" 56 3 894 943 1 982 502 712 53 11 50 1 2 182 2
"164" 56 4 944 982 1 982 502 712 53 11 39 0 2 232 3
"165" 57 1 801 839 2 982 595 801 41 10 39 1 3 0 0
"166" 57 2 841 886 2 982 595 801 41 10 46 1 3 40 1
"167" 58 1 700 724 1 982 496 700 31 11 25 1 2 0 0
"168" 58 2 725 740 1 982 496 700 31 11 16 1 2 25 1
"169" 58 3 760 820 1 982 496 700 31 11 61 1 2 60 2
"170" 58 4 821 941 1 982 496 700 57 11 121 1 2 121 3
"171" 58 5 942 951 1 982 496 700 57 11 10 1 2 242 4
"172" 58 6 952 982 1 982 496 700 57 11 31 0 2 252 5
"173" 59 1 808 861 1 982 604 808 31 11 54 1 3 0 0
"174" 59 2 868 972 1 982 604 808 31 11 105 1 3 60 1
"175" 59 3 973 982 1 982 604 808 31 11 10 0 3 165 2
"176" 60 1 764 804 2 982 496 764 46 12 41 1 2 0 0
"177" 61 1 547 606 2 982 376 547 22 9 60 1 1 0 0
"178" 61 2 799 870 2 982 376 547 32 9 72 1 1 252 1
"179" 61 3 871 982 2 982 376 547 21 9 112 0 1 324 2
"180" 62 1 616 982 1 982 371 616 25 11 367 0 1 0 0
"181" 63 1 665 680 2 982 487 665 20 11 16 1 2 0 0
"182" 63 2 718 825 2 982 487 665 41 11 108 1 2 53 1
"183" 64 1 874 982 1 982 610 874 46 12 109 0 3 0 0
"184" 65 1 550 636 2 982 380 550 32 9 87 1 1 0 0
"185" 65 2 783 982 2 982 380 550 29 9 200 0 1 233 1
"186" 67 1 662 704 2 982 480 662 41 11 43 1 2 0 0
"187" 67 2 848 871 2 982 480 662 20 11 24 1 2 186 1
"188" 67 3 872 909 2 982 480 662 41 11 38 1 2 210 2
"189" 67 4 910 945 2 982 480 662 37 11 36 1 2 248 3
"190" 67 5 946 962 2 982 480 662 40 11 17 1 2 284 4
"191" 68 1 797 863 2 982 617 797 26 9 67 1 3 0 0
"192" 69 1 640 692 2 982 370 640 26 9 53 1 1 0 0
"193" 70 1 822 972 1 982 606 822 34 9 151 1 3 0 0
"194" 70 2 973 982 1 982 606 822 20 9 10 0 3 151 1
"195" 71 1 777 961 2 982 608 777 31 9 185 1 3 0 0
"196" 72 1 835 853 2 982 623 835 32 11 19 1 3 0 0
"197" 72 2 854 883 2 982 623 835 32 11 30 1 3 19 1
"198" 73 1 542 867 1 982 353 542 31 11 326 1 1 0 0
"199" 73 2 893 936 1 982 353 542 46 11 44 1 1 351 1
"200" 73 3 937 944 1 982 353 542 46 11 8 1 1 395 2
"201" 73 4 945 982 1 982 353 542 65 11 38 0 1 403 3
"202" 74 1 727 741 1 982 497 727 41 11 15 1 2 0 0
"203" 74 2 759 982 1 982 497 727 41 11 224 0 2 32 1
"204" 75 1 548 859 1 982 378 548 40 9 312 1 1 0 0
"205" 75 2 860 982 1 982 378 548 32 9 123 0 1 312 1
"206" 76 1 838 843 1 982 618 838 30 11 6 1 3 0 0
"207" 76 2 869 912 1 982 618 838 30 11 44 1 3 31 1
"208" 76 3 916 982 1 982 618 838 30 11 67 0 3 78 2
"209" 77 1 608 663 1 982 361 608 41 12 56 1 1 0 0
"210" 77 2 664 771 1 982 361 608 41 12 108 1 1 56 1
"211" 77 3 772 879 1 982 361 608 41 12 108 1 1 164 2
"212" 77 4 880 982 1 982 361 608 41 12 103 0 1 272 3
"213" 78 1 802 813 1 982 597 802 30 11 12 1 3 0 0
"214" 78 2 814 825 1 982 597 802 31 11 12 1 3 12 1
"215" 78 3 826 876 1 982 597 802 30 11 51 1 3 24 2
"216" 78 4 877 915 1 982 597 802 42 11 39 1 3 75 3
"217" 78 5 916 959 1 982 597 802 42 11 44 1 3 114 4
"218" 78 6 971 982 1 982 597 802 48 11 12 0 3 169 5
"219" 79 1 897 910 1 982 622 897 52 17 14 1 3 0 0
"220" 79 2 973 982 1 982 622 897 52 17 10 0 3 76 1
"221" 80 1 808 888 2 982 601 808 40 11 81 1 3 0 0
"222" 81 1 543 554 1 982 366 543 20 11 12 1 1 0 0
"223" 81 2 555 583 1 982 366 543 47 11 29 1 1 12 1
"224" 81 3 604 606 1 982 366 543 47 11 3 1 1 61 2
"225" 81 4 607 623 1 982 366 543 40 11 17 1 1 64 3
"226" 81 5 626 642 1 982 366 543 29 11 17 1 1 83 4
"227" 81 6 643 711 1 982 366 543 47 11 69 1 1 100 5
"228" 81 7 712 807 1 982 366 543 37 11 96 1 1 169 6
"229" 81 8 811 982 1 982 366 543 50 11 172 0 1 268 7
"230" 82 1 896 914 2 982 618 896 57 19 19 1 3 0 0
"231" 82 2 915 982 2 982 618 896 57 19 68 0 3 19 1
"232" 83 1 616 775 2 982 378 616 32 12 160 1 1 0 0
"233" 83 2 776 982 2 982 378 616 41 12 207 0 1 160 1
"234" 84 1 634 639 1 982 356 634 42 17 6 1 1 0 0
"235" 84 2 640 662 1 982 356 634 30 17 23 1 1 6 1
"236" 84 3 663 681 1 982 356 634 46 17 19 1 1 29 2
"237" 84 4 711 982 1 982 356 634 66 17 272 0 1 77 3
"238" 85 1 820 939 2 982 618 820 29 11 120 1 3 0 0
"239" 86 1 821 928 2 982 603 821 34 11 108 1 3 0 0
"240" 87 1 786 846 1 982 593 786 20 9 61 1 3 0 0
"241" 87 2 847 906 1 982 593 786 34 9 60 1 3 61 1
"242" 87 3 915 918 1 982 593 786 18 9 4 1 3 129 2
"243" 87 4 919 982 1 982 593 786 34 9 64 0 3 133 3
"244" 88 1 595 982 1 982 366 595 41 12 388 0 1 0 0
"245" 89 1 605 654 2 982 382 605 22 10 50 1 1 0 0
"246" 90 1 545 837 2 982 370 545 48 9 293 1 1 0 0
"247" 90 2 838 982 2 982 370 545 42 9 145 0 1 293 1
"248" 92 1 563 590 1 982 373 563 25 12 28 1 1 0 0
"249" 92 2 591 618 1 982 373 563 32 12 28 1 1 28 1
"250" 92 3 671 982 1 982 373 563 40 12 312 0 1 108 2
"251" 93 1 628 689 2 982 372 628 44 13 62 1 1 0 0
"252" 93 2 781 903 2 982 372 628 44 13 123 1 1 153 1
"253" 94 1 851 982 1 982 599 851 55 13 132 0 3 0 0
"254" 95 1 844 855 1 982 589 844 53 12 12 1 3 0 0
"255" 95 2 856 936 1 982 589 844 51 12 81 1 3 12 1
"256" 95 3 937 974 1 982 589 844 51 12 38 1 3 93 2
"257" 95 4 975 982 1 982 589 844 51 12 8 0 3 131 3
"258" 96 1 688 747 2 982 470 688 48 10 60 1 2 0 0
"259" 96 2 772 781 2 982 470 688 30 10 10 1 2 84 1
"260" 96 3 827 982 2 982 470 688 48 10 156 0 2 139 2
"261" 97 1 676 775 2 982 497 676 22 9 100 1 2 0 0
"262" 97 2 845 892 2 982 497 676 22 9 48 1 2 169 1
"263" 97 3 896 982 2 982 497 676 22 9 87 0 2 220 2
"264" 98 1 688 768 2 982 469 688 41 11 81 1 2 0 0
"265" 98 2 834 853 2 982 469 688 41 11 20 1 2 146 1
"266" 98 3 865 883 2 982 469 688 41 11 19 1 2 177 2
"267" 99 1 705 717 1 982 485 705 42 11 13 1 2 0 0
"268" 99 2 718 734 1 982 485 705 30 11 17 1 2 13 1
"269" 99 3 735 775 1 982 485 705 42 11 41 1 2 30 2
"270" 99 4 776 843 1 982 485 705 42 11 68 1 2 71 3
"271" 99 5 844 855 1 982 485 705 42 11 12 1 2 139 4
"272" 99 6 856 982 1 982 485 705 42 11 127 0 2 151 5
"273" 100 1 556 578 1 982 351 556 24 11 23 1 1 0 0
"274" 100 2 579 582 1 982 351 556 31 11 4 1 1 23 1
"275" 100 3 583 586 1 982 351 556 32 11 4 1 1 27 2
"276" 100 4 588 594 1 982 351 556 31 11 7 1 1 32 3
"277" 100 5 595 601 1 982 351 556 18 11 7 1 1 39 4
"278" 100 6 602 687 1 982 351 556 31 11 86 1 1 46 5
"279" 100 7 688 982 1 982 351 556 48 11 295 0 1 132 6
"280" 101 1 628 687 1 982 382 628 40 11 60 1 1 0 0
"281" 101 2 694 803 1 982 382 628 37 11 110 1 1 66 1
"282" 101 3 804 924 1 982 382 628 37 11 121 1 1 176 2
"283" 101 4 925 982 1 982 382 628 37 11 58 0 1 297 3
"284" 102 1 687 864 2 982 491 687 40 9 178 1 2 0 0
"285" 102 2 956 982 2 982 491 687 30 9 27 0 2 269 1
"286" 103 1 554 588 1 982 365 554 20 9 35 1 1 0 0
"287" 103 2 590 601 1 982 365 554 28 9 12 1 1 36 1
"288" 103 3 602 699 1 982 365 554 20 9 98 1 1 48 2
"289" 103 4 700 982 1 982 365 554 27 9 283 0 1 146 3
"290" 104 1 574 590 1 982 360 574 44 11 17 1 1 0 0
"291" 104 2 607 630 1 982 360 574 39 11 24 1 1 33 1
"292" 104 3 631 662 1 982 360 574 44 11 32 1 1 57 2
"293" 104 4 674 693 1 982 360 574 44 11 20 1 1 100 3
"294" 104 5 694 706 1 982 360 574 44 11 13 1 1 120 4
"295" 104 6 707 723 1 982 360 574 44 11 17 1 1 133 5
"296" 104 7 724 982 1 982 360 574 44 11 259 0 1 150 6
"297" 105 1 567 644 1 982 372 567 18 11 78 1 1 0 0
"298" 105 2 658 872 1 982 372 567 46 11 215 1 1 91 1
"299" 105 3 873 982 1 982 372 567 39 11 110 0 1 306 2
"300" 106 1 832 836 2 982 614 832 32 9 5 1 3 0 0
"301" 106 2 837 843 2 982 614 832 32 9 7 1 3 5 1
"302" 107 1 934 940 1 982 611 934 41 13 7 1 3 0 0
"303" 108 1 735 832 1 982 482 735 44 12 98 1 2 0 0
"304" 108 2 833 858 1 982 482 735 41 12 26 1 2 98 1
"305" 108 3 859 871 1 982 482 735 41 12 13 1 2 124 2
"306" 108 4 872 891 1 982 482 735 34 12 20 1 2 137 3
"307" 108 5 892 922 1 982 482 735 34 12 31 1 2 157 4
"308" 108 6 923 944 1 982 482 735 50 12 22 1 2 188 5
"309" 108 7 945 982 1 982 482 735 41 12 38 0 2 210 6
"310" 109 1 575 588 1 982 355 575 31 10 14 1 1 0 0
"311" 109 2 589 626 1 982 355 575 34 10 38 1 1 14 1
"312" 109 3 627 958 1 982 355 575 34 10 332 1 1 52 2
"313" 110 1 664 667 1 982 504 664 30 11 4 1 2 0 0
"314" 110 2 668 671 1 982 504 664 20 11 4 1 2 4 1
"315" 110 3 672 673 1 982 504 664 31 11 2 1 2 8 2
"316" 110 4 673 681 1 982 504 664 40 11 9 1 2 9 3
"317" 110 5 725 745 1 982 504 664 30 11 21 1 2 61 4
"318" 110 6 761 822 1 982 504 664 30 11 62 1 2 97 5
"319" 110 7 823 876 1 982 504 664 46 11 54 1 2 159 6
"320" 110 8 877 948 1 982 504 664 46 11 72 1 2 213 7
"321" 110 9 949 982 1 982 504 664 46 11 34 0 2 285 8
"322" 111 1 705 833 2 982 479 705 41 10 129 1 2 0 0
"323" 112 1 538 558 2 982 367 538 20 9 21 1 1 0 0
"324" 112 2 571 630 2 982 367 538 22 9 60 1 1 33 1
"325" 112 3 631 690 2 982 367 538 20 9 60 1 1 93 2
"326" 112 4 691 726 2 982 367 538 22 9 36 1 1 153 3
"327" 112 5 727 750 2 982 367 538 20 9 24 1 1 189 4
"328" 112 6 751 774 2 982 367 538 22 9 24 1 1 213 5
"329" 113 1 787 882 1 982 611 787 32 9 96 1 3 0 0
"330" 113 2 877 982 1 982 611 787 31 9 106 0 3 90 1
"331" 114 1 823 918 1 982 600 823 42 11 96 1 3 0 0
"332" 114 2 924 982 1 982 600 823 41 11 59 0 3 101 1
"333" 115 1 913 982 2 982 624 913 57 13 70 0 3 0 0
"334" 116 1 579 762 1 982 384 579 40 11 184 1 1 0 0
"335" 116 2 763 982 1 982 384 579 40 11 220 0 1 184 1
"336" 117 1 820 837 1 982 603 820 21 11 18 1 3 0 0
"337" 117 2 838 982 1 982 603 820 39 11 145 0 3 18 1
"338" 118 1 844 855 1 982 616 844 34 11 12 1 3 0 0
"339" 118 2 874 932 1 982 616 844 34 11 59 1 3 30 1
"340" 118 3 933 982 1 982 616 844 31 11 50 0 3 89 2
"341" 119 1 520 556 1 982 349 520 20 9 37 1 1 0 0
"342" 119 2 557 653 1 982 349 520 20 9 97 1 1 37 1
"343" 119 3 654 982 1 982 349 520 34 9 329 0 1 134 2
"344" 120 1 604 741 1 982 380 604 32 19 138 1 1 0 0
"345" 120 2 783 836 1 982 380 604 57 19 54 1 1 179 1
"346" 120 3 837 982 1 982 380 604 57 19 146 0 1 233 2
"347" 121 1 561 835 1 982 383 561 32 9 275 1 1 0 0
"348" 121 2 836 909 1 982 383 561 20 9 74 1 1 275 1
"349" 121 3 910 982 1 982 383 561 32 9 73 0 1 349 2
"350" 122 1 837 860 1 982 623 837 42 11 24 1 3 0 0
"351" 122 2 877 982 1 982 623 837 42 11 106 0 3 40 1
"352" 123 1 826 857 1 982 613 826 44 11 32 1 3 0 0
"353" 123 2 877 886 1 982 613 826 44 11 10 1 3 51 1
"354" 123 3 887 934 1 982 613 826 42 11 48 1 3 61 2
"355" 123 4 935 982 1 982 613 826 42 11 48 0 3 109 3
"356" 124 1 544 567 1 982 372 544 20 11 24 1 1 0 0
"357" 124 2 604 812 1 982 372 544 34 11 209 1 1 60 1
"358" 124 3 813 982 1 982 372 544 34 11 170 0 1 269 2
"359" 125 1 518 654 1 982 357 518 40 9 137 1 1 0 0
"360" 125 2 655 746 1 982 357 518 40 9 92 1 1 137 1
"361" 125 3 747 916 1 982 357 518 31 9 170 1 1 229 2
"362" 125 4 917 982 1 982 357 518 56 9 66 0 1 399 3
"363" 126 1 850 960 2 982 622 850 34 11 111 1 3 0 0
"364" 127 1 839 849 1 982 613 839 42 11 11 1 3 0 0
"365" 127 2 869 872 1 982 613 839 42 11 4 1 3 30 1
"366" 127 3 873 879 1 982 613 839 42 11 7 1 3 34 2
"367" 127 4 880 904 1 982 613 839 42 11 25 1 3 41 3
"368" 127 5 905 982 1 982 613 839 42 11 78 0 3 66 4
"369" 128 1 721 752 2 982 493 721 49 11 32 1 2 0 0
"370" 129 1 592 609 2 982 366 592 31 11 18 1 1 0 0
"371" 129 2 909 982 2 982 366 592 31 11 74 0 1 317 1
"372" 130 1 586 982 1 982 383 586 42 11 397 0 1 0 0
"373" 131 1 720 743 2 982 474 720 31 11 24 1 2 0 0
"374" 131 2 939 982 2 982 474 720 30 11 44 0 2 219 1
"375" 132 1 569 982 1 982 377 569 32 9 414 0 1 0 0
"376" 133 1 556 642 2 982 366 556 48 9 87 1 1 0 0
"377" 133 2 654 691 2 982 366 556 30 9 38 1 1 98 1
"378" 133 3 700 735 2 982 366 556 28 9 36 1 1 144 2
"379" 133 4 736 747 2 982 366 556 30 9 12 1 1 180 3
"380" 134 1 592 616 2 982 376 592 41 9 25 1 1 0 0
"381" 135 1 826 833 1 982 601 826 44 11 8 1 3 0 0
"382" 135 2 834 840 1 982 601 826 44 11 7 1 3 8 1
"383" 135 3 841 864 1 982 601 826 38 11 24 1 3 15 2
"384" 135 4 865 891 1 982 601 826 44 11 27 1 3 39 3
"385" 135 5 892 910 1 982 601 826 44 11 19 1 3 66 4
"386" 135 6 915 969 1 982 601 826 32 11 55 1 3 89 5
"387" 135 7 970 982 1 982 601 826 40 11 13 0 3 144 6
"388" 136 1 712 736 2 982 471 712 34 12 25 1 2 0 0
"389" 136 2 737 771 2 982 471 712 44 12 35 1 2 25 1
"390" 137 1 634 699 1 982 360 634 35 12 66 1 1 0 0
"391" 137 2 700 771 1 982 360 634 44 12 72 1 1 66 1
"392" 137 3 784 982 1 982 360 634 44 12 199 0 1 150 2
"393" 138 1 627 669 2 982 377 627 55 12 43 1 1 0 0
"394" 139 1 798 924 2 982 602 798 22 11 127 1 3 0 0
"395" 139 2 931 942 2 982 602 798 22 11 12 1 3 133 1
"396" 139 3 960 982 2 982 602 798 40 11 23 0 3 162 2
"397" 140 1 832 855 1 982 622 832 32 11 24 1 3 0 0
"398" 140 2 856 886 1 982 622 832 39 11 31 1 3 24 1
"399" 140 3 887 940 1 982 622 832 42 11 54 1 3 55 2
"400" 140 4 939 952 1 982 622 832 31 11 14 1 3 107 3
"401" 140 5 953 982 1 982 622 832 44 11 30 0 3 121 4
"402" 141 1 712 737 2 982 500 712 49 11 26 1 2 0 0
"403" 141 2 751 805 2 982 500 712 55 11 55 1 2 39 1
"404" 142 1 718 744 1 982 492 718 38 12 27 1 2 0 0
"405" 142 2 757 801 1 982 492 718 55 12 45 1 2 39 1
"406" 142 3 802 881 1 982 492 718 55 12 80 1 2 84 2
"407" 142 4 882 982 1 982 492 718 55 12 101 0 2 164 3
